mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__max_features,param_model__max_depth,param_model__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
24.969680261611938,0.9761316980446292,0.5954143047332764,0.04224277444996369,450,275,sqrt,10,squared_error,"{'model__n_estimators': 450, 'model__min_samples_split': 275, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__criterion': 'squared_error'}",0.7484804733081771,0.6685868175556737,0.6760388837984378,0.716030505779436,0.7209697733393061,0.7060212907562062,0.02975469109462475,2,0.7235360888041922,0.7258203531958264,0.7230469499057222,0.7252882236793188,0.7205484457374307,0.723648012264498,0.001864965097960444
1651.7179735660552,128.91612494500924,0.25049614906311035,0.019829650944452114,300,275,10,10,absolute_error,"{'model__n_estimators': 300, 'model__min_samples_split': 275, 'model__max_features': 10, 'model__max_depth': 10, 'model__criterion': 'absolute_error'}",0.7019473331167969,0.625899150817379,0.6144891324398445,0.6653428550863205,0.6667967932014418,0.6548950529323566,0.03142650413948323,8,0.6644281778225032,0.6738863343295158,0.6653356732644942,0.66311909073806,0.6557056820604197,0.6644949916429986,0.00579747519821439
17.282410383224487,0.5537518914777406,0.38251490592956544,0.04244671047984906,350,150,10,8,friedman_mse,"{'model__n_estimators': 350, 'model__min_samples_split': 150, 'model__max_features': 10, 'model__max_depth': 8, 'model__criterion': 'friedman_mse'}",0.7416550974346072,0.6725603132500917,0.6885249303485572,0.7106067775012557,0.7147134260537878,0.7056121089176599,0.02362740179286844,3,0.7272181951854442,0.7288619779781913,0.7297989650928627,0.724930218724509,0.7237022564354503,0.7269023226832914,0.002300442547693356
9.943030595779419,0.9286462477441781,0.3364850997924805,0.05534550453404825,450,100,sqrt,4,friedman_mse,"{'model__n_estimators': 450, 'model__min_samples_split': 100, 'model__max_features': 'sqrt', 'model__max_depth': 4, 'model__criterion': 'friedman_mse'}",0.6031803219859568,0.5490749647975857,0.5586685573617848,0.5775484839548062,0.5768307912443091,0.5730606238688886,0.018568762394314046,13,0.5898832852337912,0.5871272023274633,0.5850530207140986,0.5931278841289331,0.5834684334139857,0.5877319651636543,0.0034486027302751193
1550.4338371276856,57.37666026001903,0.2539278507232666,0.011009073095008095,300,250,sqrt,10,absolute_error,"{'model__n_estimators': 300, 'model__min_samples_split': 250, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__criterion': 'absolute_error'}",0.7019346935070963,0.6310635822150163,0.6216024318453888,0.6668484655948712,0.6720507279416225,0.658699980220799,0.02916806233449455,7,0.665585435022487,0.6787913689683502,0.6708885862336136,0.6694366487324481,0.6653762277292397,0.6700156533372277,0.004883882621451832
15.061578750610352,0.5791653825529351,0.38859877586364744,0.06546141520093841,300,100,sqrt,8,friedman_mse,"{'model__n_estimators': 300, 'model__min_samples_split': 100, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__criterion': 'friedman_mse'}",0.7504882906210711,0.6848509263440786,0.7050268789642997,0.7249909372729544,0.7277642396104202,0.7186242545625647,0.0222032299067567,1,0.7448256086701233,0.7424693537836273,0.7430425146320426,0.745508151497656,0.7387120746994768,0.7429115406565852,0.0023771513186245548
6.5305256843566895,0.4249830020630011,0.2249814510345459,0.054637024691135225,250,225,sqrt,5,friedman_mse,"{'model__n_estimators': 250, 'model__min_samples_split': 225, 'model__max_features': 'sqrt', 'model__max_depth': 5, 'model__criterion': 'friedman_mse'}",0.644210013174501,0.5896981912835388,0.6018240500678653,0.6160237494659693,0.6220137262438857,0.6147539460471521,0.01853078388329924,11,0.6218175683469809,0.6322953160877793,0.6317659253093246,0.6260142234608739,0.6244873398776029,0.6272760746165122,0.004111353661949661
5.6590086936950685,0.622825430285184,0.19295082092285157,0.02235317853028088,250,100,sqrt,4,squared_error,"{'model__n_estimators': 250, 'model__min_samples_split': 100, 'model__max_features': 'sqrt', 'model__max_depth': 4, 'model__criterion': 'squared_error'}",0.5997750582519936,0.5515480285380774,0.5560651921778867,0.5753293837032645,0.5813150451432403,0.5728065415628925,0.017539996655127503,14,0.5886715875558562,0.5899888994467571,0.5850160784869204,0.5904373574782751,0.5898255438143739,0.5887878933564366,0.0019738277756799947
7.0853362560272215,0.6301141823032943,0.3504307746887207,0.08273439215271639,350,125,sqrt,4,friedman_mse,"{'model__n_estimators': 350, 'model__min_samples_split': 125, 'model__max_features': 'sqrt', 'model__max_depth': 4, 'model__criterion': 'friedman_mse'}",0.599153433082183,0.5444482017470977,0.5596918626250651,0.5708434517196972,0.5786638128251116,0.5705601523998309,0.018348182255971412,15,0.5865488628784976,0.5829692817904146,0.5907041316506736,0.5875084214264015,0.5859060944083931,0.5867273584308761,0.0025001703916774773
818.5762136936188,49.60433684502827,0.1149519443511963,0.01814239611608463,200,175,10,5,absolute_error,"{'model__n_estimators': 200, 'model__min_samples_split': 175, 'model__max_features': 10, 'model__max_depth': 5, 'model__criterion': 'absolute_error'}",0.5738849240702916,0.5264382306652182,0.5090481748030988,0.5496347385619138,0.5478439644950605,0.5413700065191166,0.0220685138901688,17,0.5389189060094923,0.5632841560917298,0.5482647169839143,0.5510379028617174,0.5447953983903295,0.5492602160674366,0.00809567011646563
14.301992845535278,1.8219404613870525,0.3316671848297119,0.02150279159758131,450,275,sqrt,8,friedman_mse,"{'model__n_estimators': 450, 'model__min_samples_split': 275, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__criterion': 'friedman_mse'}",0.7265832755750798,0.6506657234746962,0.659023687592848,0.695036904954739,0.7002153780776297,0.6863049939349986,0.02795178814890661,5,0.7016169524229776,0.70485928910608,0.7028396992180238,0.703929948278142,0.7002315766246539,0.7026954931299755,0.0016407816757094127
9.12962703704834,0.1909095855216897,0.2648949146270752,0.013489239265658207,400,250,sqrt,6,friedman_mse,"{'model__n_estimators': 400, 'model__min_samples_split': 250, 'model__max_features': 'sqrt', 'model__max_depth': 6, 'model__criterion': 'friedman_mse'}",0.6864131070005537,0.6233623980323934,0.6305857202565395,0.6493385633916844,0.653360413099284,0.6486120403560911,0.021974931957550247,9,0.6664898858434509,0.6695765092156816,0.6643889489097969,0.6611494919442371,0.6551550167582632,0.663351970534286,0.004933714251572289
983.5697200775146,112.3994087235599,0.13826394081115723,0.008997504551336067,250,200,10,4,absolute_error,"{'model__n_estimators': 250, 'model__min_samples_split': 200, 'model__max_features': 10, 'model__max_depth': 4, 'model__criterion': 'absolute_error'}",0.518693136909292,0.45844049335607817,0.44851043262090706,0.47509773662587884,0.4864540010613192,0.47743916011469506,0.02443956151665112,19,0.4833118175323948,0.48968356080680686,0.4828772026780681,0.4745024274393894,0.480039107399595,0.48208282317125084,0.004930554779171821
1.8973656177520752,0.10933305204380396,0.09141197204589843,0.009304553045901153,150,275,log2,5,friedman_mse,"{'model__n_estimators': 150, 'model__min_samples_split': 275, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__criterion': 'friedman_mse'}",0.5703938020047951,0.515985613745062,0.5244853113337024,0.5413819377360273,0.5482414170038968,0.5400976163646967,0.019031356090858455,18,0.5506741942440697,0.5517334533336018,0.5556880778791575,0.5467617075673916,0.5508216543619289,0.55113581747723,0.002846923791025464
812.2392456531525,48.74068953935035,0.09502277374267579,0.014404992461930992,200,250,10,4,absolute_error,"{'model__n_estimators': 200, 'model__min_samples_split': 250, 'model__max_features': 10, 'model__max_depth': 4, 'model__criterion': 'absolute_error'}",0.5030298922462837,0.451172056348621,0.44023626219177825,0.48401682657917144,0.4785717136806029,0.4714053502092915,0.022765834001750113,20,0.46544149299030146,0.48210555824507584,0.4788816470170978,0.48317989954333596,0.47261150928700146,0.4764440214165625,0.006619831613593469
13.194156312942505,0.6409596254043414,0.35338759422302246,0.014976570801767534,450,100,log2,10,friedman_mse,"{'model__n_estimators': 450, 'model__min_samples_split': 100, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__criterion': 'friedman_mse'}",0.7408168866860019,0.6782589674677119,0.684146151693974,0.7107091036591537,0.7130409127214886,0.705394404445666,0.02249127630701864,4,0.7305274753236124,0.7339362669055849,0.7261095898603298,0.7290489183833444,0.7262723309773622,0.7291789162900467,0.0029098762418354506
1193.3536849498748,55.74095390027426,0.11245832443237305,0.025914899774853214,400,125,log2,10,absolute_error,"{'model__n_estimators': 400, 'model__min_samples_split': 125, 'model__max_features': 'log2', 'model__max_depth': 10, 'model__criterion': 'absolute_error'}",0.6835644614557468,0.6188992105985203,0.6212089799284899,0.6515999750897521,0.6589042353154834,0.6468353724775985,0.02430854171286804,10,0.6547540336568225,0.6674386172735565,0.6627195535067902,0.6605427829116626,0.6615229641844065,0.6613955903066477,0.004077372506127744
857.6269656181336,47.616737240356464,0.09544806480407715,0.015993983869581268,250,275,10,6,absolute_error,"{'model__n_estimators': 250, 'model__min_samples_split': 275, 'model__max_features': 10, 'model__max_depth': 6, 'model__criterion': 'absolute_error'}",0.616439561843373,0.5472149685688252,0.5407449535289081,0.577083151226631,0.5862167854176138,0.5735398841170702,0.02750327096299152,12,0.5778539611040552,0.5886233970098792,0.5835805402393079,0.5767755651524147,0.5777510428717639,0.5809169012754842,0.004539602974804046
6.640809154510498,0.18629009116876388,0.2322181224822998,0.007607458201180181,450,225,10,4,friedman_mse,"{'model__n_estimators': 450, 'model__min_samples_split': 225, 'model__max_features': 10, 'model__max_depth': 4, 'model__criterion': 'friedman_mse'}",0.5956205226376561,0.5353150406754958,0.5493863821084655,0.5644069605009503,0.5717099939219528,0.5632877799689041,0.0204612585510724,16,0.5739690366954944,0.5737137690823331,0.5800079223229995,0.5751360275628039,0.57479518420106,0.5755243879729381,0.002301395254210918
2.476470422744751,0.0811985309957722,0.0976078987121582,0.01724927914500635,100,75,10,6,squared_error,"{'model__n_estimators': 100, 'model__min_samples_split': 75, 'model__max_features': 10, 'model__max_depth': 6, 'model__criterion': 'squared_error'}",0.6947399261264388,0.6490855267732349,0.6597701515680439,0.6701702148955648,0.6757926376572658,0.6699116914041097,0.015412161212068997,6,0.6913358743302678,0.6970146127702164,0.6963239354296702,0.6908464541950934,0.6930376810759482,0.6937117115602393,0.0025314616075495936
